EXPLO_DATE,FULL_NAME,LENGTH,DUPLICATE_LENGTH,SURNAME,TOPO_DATE,SURVEYORS
2008-02-01,Pirates2008.CuevaPirates.106.UltimaPatagonia,72.45,0.0,"Centre Terre",2008-02-01,"Candel Urena;Ogando Lastra;Tourte"
2008-02-01,Pirates2008.CuevaPirates.106.UltimaPatagonia,297.96,0.0,"Centre Terre",2008-02-01,"Candel Urena;Ogando Lastra;Tourte"
2008-04-06,a.Anglais2008.CuevaPirates.106.UltimaPatagonia,245.19,137.9,"Oxford University Caving Club",2008-04-06,Guilford;Headford;Maurice
2008-04-07,b.Anglais2008.CuevaPirates.106.UltimaPatagonia,354.54,0.0,"Oxford University Caving Club",2008-04-07,Guilford;Headford;Maurice;Padfield
2008-04-08,c.Anglais2008.CuevaPirates.106.UltimaPatagonia,209.65,0.0,"Oxford University Caving Club",2008-04-08,Guilford;Headford;Lovett
2008-04-08,DodgyPlumbingResurvey.CuevaPirates.106.UltimaPatagonia,167.1,0.0,"Oxford University Caving Club",2023-02-08,Racine;Tremoulet;Andrieu;Magot
2008-04-09,d.Anglais2008.CuevaPirates.106.UltimaPatagonia,147.11,0.0,"Oxford University Caving Club",2008-04-09,Headford;Padfield;Lovett
2008-04-09,UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,59.42,0.0,"Oxford University Caving Club",2023-02-10,Honiat;Seguin
2008-04-10,e.Anglais2008.CuevaPirates.106.UltimaPatagonia,269.85,0.0,"Oxford University Caving Club",2008-04-10,Headford;Padfield
2008-04-10,Girafe.CuevaPirates.106.UltimaPatagonia,54.26,0.0,"Oxford University Caving Club",2023-02-13,"Tremoulet;Boudoux d'Hautefeuille;Malard"
2010-01-24,GouffreCumpleAnos.209.UltimaPatagonia,40.36,0.0,"Centre Terre",2010-01-24,Gignoux;Hayet;Masselin;Rivaud;Testa
2010-01-24,GrotteMarion.211.UltimaPatagonia,74.1,0.0,"Centre Terre",2010-01-24,Fischer;Hoblea
2010-01-24,MeandreDesSables.211.UltimaPatagonia,37.5,0.0,"Centre Terre",2010-01-24,Hoblea
